"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042476","GO:0042476","odontogenesis",57,-0.476718275367477,-1.83499055904017,0.00037271089704002,0.0237977021421167,0.0220441872474345,2301,"tags=42%, list=14%, signal=36%","56172/10018/29123/55512/26504/5054/84957/8140/5818/54880/860/147495/3624/92/64919/79971/3714/3399/265/5251/7042/6714/54829/11096"
"GO:0070555","GO:0070555","response to interleukin-1",87,-0.4175909758801,-1.74231403584168,0.000360461369427706,0.0237977021421167,0.0220441872474345,843,"tags=17%, list=5%, signal=16%","8767/9590/3091/407018/3576/414062/6348/23236/9252/6714/9705/3553/8808/6347/3280"
"GO:0034502","GO:0034502","protein localization to chromosome",106,0.500341370398808,1.63967910316466,0.000376335754805567,0.0237977021421167,0.0220441872474345,4024,"tags=30%, list=25%, signal=23%","3009/8368/8970/7272/8335/55506/5347/9212/701/8359/8366/157570/55166/983/4436/3012/84515/8362/8363/121504/8370/8294/554313/10856/8361/22948/8364/80124/91782/8360/27085/9183"
"GO:0021872","GO:0021872","forebrain generation of neurons",25,-0.636139555346657,-2.03960297713373,0.000402938032471309,0.0251836270294568,0.0233279913536021,876,"tags=40%, list=5%, signal=38%","27185/57178/3624/55558/1436/64919/8828/5361/8829/3280"
"GO:0000353","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP",10,-0.814737231224201,-2.03463963388393,0.000419611422658312,0.0253417010875104,0.0234744178494833,3018,"tags=100%, list=19%, signal=81%","101954275/101954271/26835/26829/26834/26828/26830/26832/26831"
"GO:0000365","GO:0000365","mRNA trans splicing, via spliceosome",10,-0.814737231224201,-2.03463963388393,0.000419611422658312,0.0253417010875104,0.0234744178494833,3018,"tags=100%, list=19%, signal=81%","101954275/101954271/26835/26829/26834/26828/26830/26832/26831"
"GO:0045291","GO:0045291","mRNA trans splicing, SL addition",10,-0.814737231224201,-2.03463963388393,0.000419611422658312,0.0253417010875104,0.0234744178494833,3018,"tags=100%, list=19%, signal=81%","101954275/101954271/26835/26829/26834/26828/26830/26832/26831"
"GO:1901550","GO:1901550","regulation of endothelial cell development",15,-0.728517008521407,-2.06888987295157,0.000440420167649691,0.0260138285837043,0.0240970201617471,363,"tags=27%, list=2%, signal=26%","1903/23236/7422/3553"
"GO:1903140","GO:1903140","regulation of establishment of endothelial barrier",15,-0.728517008521407,-2.06888987295157,0.000440420167649691,0.0260138285837043,0.0240970201617471,363,"tags=27%, list=2%, signal=26%","1903/23236/7422/3553"
"GO:1902105","GO:1902105","regulation of leukocyte differentiation",243,-0.304065495776856,-1.46381373754765,0.000461018763879395,0.0269345201723016,0.0249498713175004,1568,"tags=19%, list=10%, signal=17%","114548/57630/4853/57178/3561/5914/6932/3707/101/9398/3575/80149/942/4739/10892/55294/8744/3123/3624/8767/972/677/7071/4092/3726/6666/3662/3122/84807/6348/1960/864/55365/81501/639/28959/3111/8111/2213/140685/920/441478/3976/8808/9308"
"GO:0000038","GO:0000038","very long-chain fatty acid metabolic process",24,0.70060494117249,1.81422786556773,0.00047280093497521,0.0273258604891586,0.0253123760320627,953,"tags=25%, list=6%, signal=24%","79071/83401/8309/9200/79993/10965"
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis",40,0.62373364113176,1.7515936617859,0.000488118771636329,0.0279110467823965,0.0258544433352725,1953,"tags=28%, list=12%, signal=24%","3205/3214/3212/3213/7043/6935/23314/3198/116039/3199/3373"
"GO:0002251","GO:0002251","organ or tissue specific immune response",20,0.728554714944887,1.82551453773016,0.00049487836337565,0.0279996968752012,0.0259365613159759,3331,"tags=65%, list=21%, signal=52%","8970/6036/6037/8346/8343/8339/8344/8349/2865/8347/85236/2867/54145"
"GO:0032944","GO:0032944","regulation of mononuclear cell proliferation",182,-0.326079867908591,-1.52322798182139,0.000501331707001165,0.028069353386784,0.0260010852424946,2603,"tags=27%, list=16%, signal=23%","51561/637/1499/3635/199/3600/7037/3569/8379/23529/259307/868/64926/4773/5588/9231/196/7940/472/58515/57045/57630/7133/283234/1947/4208/942/30835/8744/83593/3123/8767/972/3109/6693/3113/10457/944/3115/27242/1026/5618/2213/2615/3553/3552/1880/23308/3280"
"GO:0045653","GO:0045653","negative regulation of megakaryocyte differentiation",19,0.722071935538019,1.79436860115914,0.000556353189628807,0.0308288494253076,0.0285572499939692,3799,"tags=68%, list=23%, signal=52%","5196/8368/8359/8366/8362/8363/121504/8370/8294/554313/8361/8364/8360"
"GO:0002042","GO:0002042","cell migration involved in sprouting angiogenesis",42,-0.527867690881408,-1.89249565226769,0.000579610781529773,0.0317898770481891,0.0294474650551646,982,"tags=40%, list=6%, signal=38%","4851/9314/5607/9734/10000/55294/84830/407010/7057/10769/407018/1960/161742/7422/5743/8829/3164"
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation",161,-0.323020121975252,-1.48180825589504,0.000595152634809361,0.0323125799202052,0.0299316529787164,1024,"tags=13%, list=6%, signal=12%","4739/55294/8767/255324/972/1436/11009/56034/3084/199731/9148/7422/133396/6714/920/8829/3976/57091/1839/5008/3280"
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation",150,-0.346696180953507,-1.57762803645014,0.000644907914720673,0.034320594471521,0.0317917085630931,1568,"tags=20%, list=10%, signal=18%","114548/4853/57178/3561/5914/3707/101/9398/3575/942/4739/10892/8744/3123/8767/972/677/7071/6666/3122/84807/1960/864/81501/8111/140685/920/3976/8808/9308"
"GO:1903708","GO:1903708","positive regulation of hemopoiesis",150,-0.346696180953507,-1.57762803645014,0.000644907914720673,0.034320594471521,0.0317917085630931,1568,"tags=20%, list=10%, signal=18%","114548/4853/57178/3561/5914/3707/101/9398/3575/942/4739/10892/8744/3123/8767/972/677/7071/6666/3122/84807/1960/864/81501/8111/140685/920/3976/8808/9308"
"GO:0032743","GO:0032743","positive regulation of interleukin-2 production",33,-0.555769293793264,-1.91548157649588,0.000653671107297264,0.0344459039384588,0.0319077847008881,1300,"tags=30%, list=8%, signal=28%","64581/942/10892/8767/3662/920/5142/3553/3552/9308"
"GO:0032543","GO:0032543","mitochondrial translation",131,0.480662505897361,1.60923906719646,0.000678931125805916,0.0354296582641437,0.0328190518657331,5700,"tags=58%, list=35%, signal=38%","26589/51318/285367/51069/6182/63875/10102/54938/63931/51204/10240/26995/3035/64983/51264/11222/54534/65008/118487/29093/54948/3396/51073/6183/81554/54516/124454/28998/64979/10573/8846/9801/9617/4701/79072/84769/65005/116540/55157/55173/64975/115416/64969/64949/64978/64981/65080/219927/28958/84881/65993/63899/57129/79590/5188/92170/64963/51023/29088/78988/51258/122704/10884/28957/51373/64928/51021/26024/26164/55699/28977/51081/29074/740/54931/60488"
"GO:0002696","GO:0002696","positive regulation of leukocyte activation",302,-0.283001440903091,-1.36134604848436,0.00070074375675002,0.0362163239666477,0.033547752727,1501,"tags=17%, list=9%, signal=15%","57178/3561/5914/283234/1947/3707/9846/101/4208/64581/3575/942/30835/3127/10892/8744/3727/3123/3108/8767/972/64109/3109/7057/3119/921/6666/3113/3122/84807/6348/1960/864/3115/1026/5618/3111/6714/920/3117/3553/8808/3552/8013/1880/9308/23308/6347/3280/3118"
"GO:0090050","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis",16,-0.704378447357693,-2.03248207240223,0.000734027258514338,0.0375752049001387,0.0348065055917075,1819,"tags=50%, list=11%, signal=44%","9734/10000/407010/10769/407018/7422/5743/8829"
"GO:0003014","GO:0003014","renal system process",58,0.560462243243813,1.69709701176947,0.000760408313489713,0.0385584404245963,0.0357172921827839,1968,"tags=26%, list=12%, signal=23%","3512/3493/1910/56670/3494/3778/54885/133/8644/10699/57156/3291/2621/2149/6524"
"GO:0048762","GO:0048762","mesenchymal cell differentiation",137,-0.338340024485487,-1.51893524076706,0.000813903995412847,0.0408853642555519,0.0378727584683007,1611,"tags=20%, list=10%, signal=19%","10512/10501/1947/27250/4208/4088/7074/4855/5747/6949/3091/4092/3084/8482/2022/6405/161742/753/265/6615/7042/28984/8828/8829/3553/80139/3280/10439"
"GO:0021854","GO:0021854","hypothalamus development",10,-0.795019467204489,-1.98539855022092,0.00082870016639354,0.0412431795774563,0.0382042084506963,741,"tags=50%, list=5%, signal=48%","1499/55558/8828/5361/8829"
"GO:0000244","GO:0000244","spliceosomal tri-snRNP complex assembly",25,-0.605969310533075,-1.9428705532097,0.000868048139182438,0.0428051261294092,0.0396510642040843,3598,"tags=68%, list=22%, signal=53%","9129/10594/24148/7375/26827/101954275/135295/101954271/26835/100151683/26829/26834/26828/26830/26832/100151684/26831"
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process",148,0.463848177100144,1.56695496788338,0.000878519574366674,0.0429276610201898,0.0397645702081758,1821,"tags=22%, list=11%, signal=20%","1588/1718/2852/9023/247/9420/5028/80270/10755/1717/1066/6307/2672/7108/403313/80271/6697/51478/10613/6713/4923/23600/340485/1601/4598/11161/23541/9365/8644/6309/1595/54361/1719"
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling",122,0.475624463585844,1.58106758871974,0.000888989471785995,0.0430479136112588,0.0398759620820081,912,"tags=14%, list=6%, signal=13%","51512/990/7272/5347/4582/4085/991/641/4998/51514/8555/63967/9212/699/701/11130/1063"
"GO:0001893","GO:0001893","maternal placenta development",24,-0.633520438953085,-2.01595950410586,0.000941614267651379,0.0451890775770193,0.0418593560713442,1142,"tags=33%, list=7%, signal=31%","5467/3726/2706/56977/639/5743/3976/51673"
"GO:0045910","GO:0045910","negative regulation of DNA recombination",39,0.600580600333026,1.68615403718745,0.000971332856951864,0.046202779700144,0.0427983643538176,2276,"tags=31%, list=14%, signal=27%","3009/3007/641/3006/3008/3005/10721/126549/55010/50943/4436/8971"
"GO:0032467","GO:0032467","positive regulation of cytokinesis",30,0.629636509513358,1.68554818136988,0.000981872879327049,0.0462944449682709,0.0428832753390299,2653,"tags=27%, list=16%, signal=22%","990/10755/8555/9212/11113/54627/29127/994"
"GO:0010575","GO:0010575","positive regulation of vascular endothelial growth factor production",20,-0.667538981272262,-2.03626829726179,0.000991252891339965,0.046330298182194,0.0429164867371903,1434,"tags=40%, list=9%, signal=37%","10855/6095/55959/3091/5743/718/3553/3552"
"GO:0021884","GO:0021884","forebrain neuron development",13,-0.740073133161415,-2.00620363905795,0.00100415358406439,0.0465286682271216,0.0431002400419653,1856,"tags=46%, list=11%, signal=41%","27185/57178/55558/8828/5361/8829"
"GO:0051304","GO:0051304","chromosome separation",111,0.490203590355952,1.61669158418181,0.00102034251926816,0.0468747097527038,0.0434207837709256,2236,"tags=19%, list=14%, signal=16%","990/7272/5347/4085/991/9787/10744/9232/9212/699/701/26271/7153/11130/1063/126549/1062/57520/130951/80010/201254"
"GO:1902285","GO:1902285","semaphorin-plexin signaling pathway involved in neuron projection guidance",11,-0.774405896228213,-2.01818505659608,0.00106583960469664,0.0481419149180207,0.0445946159240613,1403,"tags=64%, list=9%, signal=58%","23654/23129/55558/6405/8828/5361/8829"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process",135,0.469542647273584,1.57866961042603,0.00106003329176297,0.0481419149180207,0.0445946159240613,5145,"tags=44%, list=32%, signal=30%","883/23464/144193/81539/5832/122945/2184/2730/10157/5723/8659/64116/65263/2653/89839/10247/5471/27165/586/3620/84706/22928/200895/2639/1719/26275/3028/113451/8528/10588/51074/27034/406991/5860/56474/38/29920/4594/60496/4942/2618/4507/440/1503/642/2805/435/4552/2729/383/23463/54529/2752/8604/51540/6470/3242/23564/4522"
